394967,22057.92,102.79 436245,26738.4,105.31 
423215,83451.91,98.15 385878,67729.84,103.4 
379806,92637.13,103.84 433385,80559.14,97.19 

392741,708741.15,114.61 453121,1275339.39,100.35 
406009,196158.44,99.03 369503,220223.55,101.99 
413642,1162467.92,99.63 406874,1177686.22,100.65 
392574,1003305.76,99.05 372718,927892.2,107.83 
367902,906150.78,107.19 405555,1096642.55,107.75 
405660,886101.26,111.45 368153,816988.83,104.08 
364527,475454.88,99.34 356847,448773.39,97.24 
379159,1037537.49,97.27 387241,1079099.96,114.56 
408195,966560.82,98.98 362122,890991.22,103.8 
410126,160144.21,99.64 419505,173900.22,96.68 
395579,0,103.22 377581,0,103.87 
380275,0,108.85 435011,0,98.89 
362359,29766.73,112.14 354958,32861.59,103.29 
388947,86328.5,102.04 388220,95189.38,88.09 
393640,86082.79,96.17 382756,73952.52,97.33 

394472,720701.01,93.66 411786,794523.2,98.98 
404682,205644.12,96.48 394675,189982.36,90.65 
429468,1223230.69,93.05 385177,1067915.73,106.59 
379296,968080.27,102.64 432477,1215288.33,93.84 
406932,1108511.52,100.76 405728,1096699.86,92.99 
393732,876677.21,100.17 398488,854080.28,105.16 
375806,499213.29,97.07 377662,530677.41,104.42 
381500,1024923.28,100.42 331467,905211.84,95.3 
384859,891376.52,108.81 368410,844271.56,101.83 
414006,159205.79,96.16 362152,128101.99,101.43 
381414,0,102.2 384888,0,97.15 
380279,0,97.9 421671,0,94.85 
404031,23431.54,95.09 329032,30088.16,113.3 
433594,94610.09,94.52 441237,80569.36,100.75 
358565,54363.52,100.69 397293,88968.54,106.42 

386083,733757.26,109.87 415903,804614.52,107.7 
390102,190782.88,100.97 332395,175261.34,114.11 
415045,1169357.8,99.52 373340,1068405.42,99.69 
415455,1187987.28,100.74 402388,1052363.43,101.78 
373517,919989.07,109.38 423808,1156404.5,94.17 
421044,930535.55,107.17 340400,729797.26,112.3 
344517,365165.56,99.72 376371,525394.48,106.34 
420208,1745799.49,105.55 393149,1047972.0,93.09 
394669,898548.74,97.15 400768,909468.49,105.77 
349899,66817.98,105.79 419812,138193.18,106.13 
402650,0,93.04 389687,0,102.18 
433011,0,104.17 409166,0,98.11 
343169,22668.33,96.98 394103,26738.4,104.1 
368852,86893.99,112.13 369833,66124.83,115.45 
425803,85254.88,103.66 351151,56516.16,99.37 

383769,720594.48,116.64 360011,637142.84,102.75 
381670,219611.04,102.6 391272,208699.33,106.27 
389252,1094282.85,91.8 346209,872996.21,106.55 
390810,1023157.73,107.92 348927,857399.27,104.35 
411112,1097579.44,96.59 381634,1051241.27,108.02 
410782,902931.66,101.02 343733,782788.69,105.59 
344572,396731.85,107.58 374999,446771.21,103.28 
400863,1688222.86,104.35 429102,1750681.41,100.97 
357107,848147.98,106.9 381650,885364.54,95.26 
406495,135333.23,96.11 408590,127769.66,108.6 
362078,0,102.12 392685,0,107.16 
396965,0,92.93 408360,0,94.66 
382863,24031.55,99.02 437057,33450.68,104.5 
351281,62038.34,88.97 429535,94917.78,101.02 
404564,85496.13,101.51 391883,86554.45,97.79 

351862,628303.57,106.53 377710,683572.15,100.0 
401792,194488.23,92.18 375243,185378.83,101.34 
400235,1141649.79,97.13 366918,1078513.38,108.68 
394757,1024596.32,101.02 358629,879517.74,101.6 
393022,1062143.87,94.55 362100,820282.58,109.21 
346000,748644.5,102.02 366476,812515.74,95.45 
413535,579148.12,107.71 395512,517616.03,94.11 
369048,1002486.57,98.45 390762,1093372.18,95.9 
430528,970648.51,95.9 346827,809612.36,108.16 
381905,120855.1,91.11 423873,141659.66,91.2 
361809,0,94.06 392765,0,99.23 
372966,0,109.73 393951,0,89.76 
386228,23784.72,108.65 369148,23964.05,104.74 
377294,101137.03,100.26 384343,64050.67,110.97 
371116,71508.66,88.45 453367,80098.48,101.1 

387195,725278.51,104.16 323651,588945.27,98.36 
